case,legacy_case,TimeStep,simtime,s1,s2,s3,p1,p2,p3,Px,Py,Pz,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain_y,stress_y,M2y,M2y_sqrt,m_y,progress_M2y,absPy_mean_norm,Py_mean_norm,stress_smooth,delta_sigma_serr,S_rms,H_M2_sections,is_loading,pred_M1_linear_sep,resid_pred_M1_linear_sep,pred_M1_quadratic_sep,resid_pred_M1_quadratic_sep,pred_M2_common,resid_pred_M2_common,pred_M3_structure,resid_pred_M3_structure,pred_M4_common_Ae,resid_pred_M4_common_Ae,pred_M5_common_AM,resid_pred_M5_common_AM,pred_M6_cross_from_90DW,resid_pred_M6_cross_from_90DW,Time_1,pred_M6_cross_from_Ref,resid_pred_M6_cross_from_Ref
Ref,single,10000,0.3775,5.86e-05,-0.00015098,-6.89e-05,-0.002050983,-0.030818142,-0.002580743,-17.56418428,-10.89788981,-13.69077667,-0.0433,0.0221,-0.00422,-0.194,0.174,0.128,0.0164,-0.178,0.172,0.129,0.0167,-0.191,0.19,0.146,0.0214,0.134,0.13,0.145,0.238,0.0,0.00015098,0.030818142,0.01718841,0.13110457657915683,1.0,0.0,1.0,1.0,0.04489196881818182,-0.014073826818181819,0.011155961182573752,0.07503538374953996,True,0.013374011212485735,0.017444130787514264,0.00869675734192852,0.02212138465807148,0.0343433855680544,-0.0035252435680543995,0.032076693989775806,-0.0012585519897758066,0.029710620719465154,0.0011075212805348456,0.03124318423155022,-0.00042504223155022045,0.028844072439150936,0.0019740695608490635,,,
Ref,single,20000,0.8775,0.000157331,-0.00035098,7.32e-05,-0.000708983,-0.038134531,-0.002606779,-17.58695826,-11.03319134,-13.68331059,-0.0436,0.0223,-0.00349,-0.18,0.175,0.13,0.017,-0.168,0.171,0.128,0.0164,-0.189,0.188,0.146,0.0214,0.136,0.129,0.145,0.239,0.0,0.00035098,0.038134531,0.016897290000000002,0.12998957650519521,0.9830630058277643,0.01693699417223571,0.9923076923076923,1.009049773755656,0.04989967154545455,-0.01176514054545455,0.010412834511663409,0.08831579593390992,True,0.031090279873878947,0.0070442511261210525,0.020363243566109347,0.017771287433890653,0.035920846065420294,0.0022136849345797058,0.036973910968396105,0.0011606200316038942,0.03620720313417785,0.0019273278658221496,0.03671169917827598,0.0014228318217240216,0.031645267939404705,0.006489263060595295,,,
Ref,single,30000,1.3775,0.000245763,-0.00055098,0.00015156,-0.000873102,-0.050871451,-0.004496612,-17.60624426,-11.02977942,-13.69797925,-0.0441,0.0224,-0.00406,-0.189,0.176,0.129,0.0167,-0.174,0.17,0.128,0.0163,-0.187,0.19,0.148,0.0218,0.135,0.128,0.146,0.239,0.0,0.00055098,0.050871451,0.01680176,0.1296216031377486,0.9775051909978874,0.022494809002112648,0.9846153846153846,1.0135746606334841,0.05567025209090909,-0.004798801090909091,0.009747293255008166,0.0680863493927723,True,0.04880654853527216,0.00206490246472784,0.03219620815999428,0.01867524284000572,0.06700375752718524,-0.01613230652718524,0.0671288557182609,-0.0162574047182609,0.06478119220305151,-0.01390974120305151,0.06631229790074955,-0.015440846900749552,0.058235409445364844,-0.007363958445364846,,,
Ref,single,40000,1.8775,0.000405318,-0.00075098,0.000109655,-0.001091254,-0.065139668,-0.004739463,-17.59740848,-11.03932564,-13.68926054,-0.042,0.0221,-0.00392,-0.178,0.187,0.129,0.0167,-0.168,0.172,0.126,0.0159,-0.191,0.192,0.149,0.0223,0.135,0.127,0.148,0.239,0.0,0.00075098,0.065139668,0.016388410000000003,0.1280172254034589,0.9534570096943231,0.04654299030567688,0.9769230769230769,1.0,0.06334121172727272,0.0017984562727272752,0.008826072573291658,0.055516834416632355,True,0.06652281719666538,-0.0013831491966653786,0.04419565112358332,0.020944016876416678,0.05014238540847374,0.01499728259152626,0.05624176846108549,0.008897899538914511,0.05748094750319724,0.0076587204968027595,0.056699956975959795,0.008439711024040203,0.046170186057753415,0.018969481942246583,,,
Ref,single,50000,2.3775,0.000262813,-0.00095098,0.000432242,-0.00272694,-0.07517192,-0.001878922,-17.60675163,-11.0071757,-13.69984482,-0.0432,0.0213,-0.00379,-0.183,0.174,0.13,0.0169,-0.168,0.173,0.125,0.0157,-0.185,0.193,0.148,0.022,0.136,0.126,0.147,0.238,0.0,0.00095098,0.07517192,0.01615369,0.12709716755301825,0.9398012963386373,0.06019870366136271,0.9692307692307692,0.9638009049773755,0.07124286254545453,0.00392905745454547,0.007881270787977797,0.08176433622657343,True,0.08423908585805859,-0.009067165858058585,0.056361572456876466,0.018810347543123537,0.06022798760220445,0.014943932397795553,0.06842226089498517,0.006749659105014835,0.07034373338073827,0.004828186619261737,0.06912715858842554,0.006044761411574465,0.05583112159953149,0.019340798400468512,,,
Ref,single,60000,2.8775,0.000468208,-0.00115098,0.000412872,-0.002161827,-0.079585235,-0.00252975,-17.63030102,-11.10970981,-13.69692105,-0.0437,0.0214,-0.00353,-0.186,0.175,0.13,0.0168,-0.168,0.169,0.125,0.0156,-0.19,0.185,0.149,0.0222,0.135,0.125,0.148,0.238,0.0,0.00115098,0.079585235,0.01605796,0.12672000631313116,0.9342318457611843,0.06576815423881566,0.9615384615384615,0.9683257918552035,0.08026021627272728,-0.0006749812727272764,0.006744070240476278,0.07389736876991197,True,0.1019553545194518,-0.022370119519451795,0.06869397215987372,0.010891262840126287,0.09128072834873509,-0.011695493348735084,0.09855137842692434,-0.018966143426924334,0.09889514726002822,-0.01930991226002822,0.09870308111704984,-0.019117846117049836,0.0823969377861963,-0.0028117027861963018,,,
Ref,single,70000,3.3775,0.000600038,-0.00135098,0.000492523,-0.001042175,-0.085902872,-0.003341303,-17.63719456,-11.11967855,-13.70800668,-0.0439,0.0209,-0.00456,-0.182,0.18,0.131,0.017,-0.162,0.171,0.124,0.0153,-0.189,0.19,0.15,0.0224,0.136,0.124,0.149,0.239,0.0,0.00135098,0.085902872,0.01573681,0.12544644275546438,0.9155477440903492,0.08445225590965078,0.9538461538461538,0.9457013574660632,0.09056771718181819,-0.004664845181818186,0.005266206865528914,0.09661110067306854,True,0.11967162318084502,-0.03376875118084502,0.08119285023257508,0.004710021767424924,0.08832805595351466,-0.0024251839535146535,0.09957063863387675,-0.01366776663387674,0.10200206495862814,-0.016099192958628133,0.10046646555717634,-0.014563593557176333,0.08154568659412734,0.004357185405872668,,,
Ref,single,80000,3.8775,0.000647916,-0.00155098,0.000585664,-0.001641961,-0.094294528,-0.001698199,-17.64688324,-11.0454188,-13.68192362,-0.0437,0.0229,-0.0042,-0.186,0.174,0.131,0.0171,-0.165,0.17,0.121,0.0148,-0.189,0.196,0.151,0.0227,0.137,0.122,0.15,0.238,0.0,0.00155098,0.094294528,0.01532441,0.12379180102090769,0.8915548325877728,0.1084451674122272,0.9384615384615385,1.0361990950226243,0.10139954290909092,-0.00710501490909092,0.0039097095058063455,0.07056492896524796,True,0.1373878918422382,-0.043093363842238205,0.09385820667498054,0.0004363213250194592,0.07160999473217049,0.022684533267829515,0.08880623066185188,0.005488297338148124,0.09480905240929983,-0.0005145244092998325,0.09097133655317427,0.0033231914468257323,0.06959600847317232,0.02469851952682768,,,
Ref,single,90000,4.3775,0.000712972,-0.00175098,0.000681068,-0.002363176,-0.115198698,-0.002272591,-17.6533644,-11.05038956,-13.70064326,-0.0436,0.0219,-0.00383,-0.187,0.179,0.131,0.0171,-0.163,0.166,0.122,0.0149,-0.194,0.197,0.149,0.0222,0.137,0.122,0.148,0.238,0.0,0.00175098,0.115198698,0.01537961,0.12401455559731689,0.8947662989188645,0.1052337010811355,0.9384615384615385,0.9909502262443438,0.11205851563636365,0.0031401823636363485,0.0037732657919021923,0.07078255562122403,True,0.15510416050363143,-0.03990546250363143,0.10669004148709012,0.008508656512909885,0.1254310657310497,-0.010232367731049699,0.13842585820204314,-0.023227160202043143,0.1403968331085325,-0.025198135108532485,0.1391691487708098,-0.023970450770809795,0.11451892686670531,0.0006797711332946904,,,
Ref,single,100000,4.8775,0.00088194,-0.00195098,0.000732489,-0.0025812,-0.117736301,-0.002714159,-17.6647997,-11.20126584,-13.70525313,-0.0448,0.0206,-0.00395,-0.188,0.182,0.132,0.0174,-0.16,0.168,0.121,0.0146,-0.187,0.187,0.15,0.0226,0.138,0.121,0.149,0.238,0.0,0.00195098,0.117736301,0.01502436,0.12257389607905918,0.8740983022862499,0.12590169771375015,0.9307692307692307,0.9321266968325791,0.122679599,-0.004943297999999999,0.00379627595862484,0.08815392334078893,True,0.17282042916502463,-0.05508412816502463,0.11968835466890379,-0.0019520536689037887,0.1173342863882037,0.00040201461179630027,0.1350415777525228,-0.01730527675252279,0.139654680982975,-0.02191837998297501,0.13672524215948653,-0.01898894115948653,0.10952020873463608,0.00821609226536392,,,
Ref,single,110000,5.3775,0.000970235,-0.00215098,0.000815413,-0.001962445,-0.130009033,-0.002799771,-17.68244179,-11.22450614,-13.68383221,-0.0441,0.0211,-0.00417,-0.188,0.189,0.133,0.0176,-0.165,0.162,0.12,0.0143,-0.189,0.191,0.151,0.0227,0.139,0.12,0.15,0.238,0.0,0.00215098,0.130009033,0.01474521,0.12142985629572325,0.8578577076064626,0.14214229239353737,0.923076923076923,0.9547511312217194,0.13389763136363636,-0.003888598363636364,0.0036309823156128167,0.059136627727074446,True,0.19053669782641786,-0.06052766482641786,0.13285314622042158,-0.002844113220421579,0.12071746419240412,0.009291568807595879,0.14148455372404517,-0.011475520724045174,0.14750238849431963,-0.01749335549431963,0.14367062730814298,-0.013661594308142982,0.11377727459476628,0.01623175840523372,,,
Ref,single,120000,5.8775,0.001125362,-0.00235098,0.000805099,0.000548417,-0.144200652,-0.003797157,-17.72062127,-11.2987383,-13.69468486,-0.0448,0.0185,-0.00383,-0.185,0.176,0.132,0.0175,-0.163,0.164,0.119,0.0141,-0.19,0.187,0.151,0.0227,0.139,0.119,0.15,0.238,0.0,0.00235098,0.144200652,0.01444225,0.12017591272796725,0.8402318771777029,0.15976812282229713,0.9153846153846154,0.83710407239819,0.14588218881818182,-0.0016815368181818113,0.00364249754273326,0.057985694925280204,True,0.20825296648781105,-0.06405231448781104,0.14618441614164346,-0.001983764141643446,0.12050881834783783,0.02369183365216218,0.14485279940141513,-0.0006521474014151152,0.15266251968562985,-0.008461867685629842,0.1476783115789401,-0.0034776595789400844,0.11513841119268564,0.02906224080731437,,,
Ref,single,130000,6.3775,0.001113045,-0.00255098,0.000980908,-0.000444024,-0.157284614,-0.002277779,-17.71148843,-11.23233435,-13.70934426,-0.0449,0.0206,-0.00396,-0.183,0.173,0.132,0.0175,-0.157,0.16,0.118,0.0139,-0.188,0.187,0.151,0.0228,0.138,0.118,0.15,0.237,0.0,0.00255098,0.157284614,0.01432436,0.11968441836763881,0.8333731857687825,0.1666268142312175,0.9076923076923076,0.9321266968325791,0.15850950681818182,-0.001224892818181833,0.0033795815134572693,0.09210655651266769,True,0.22596923514920428,-0.06868462114920429,0.15968216443256947,-0.0023975504325694785,0.1482186438462925,0.009065970153707498,0.17212026118709495,-0.014835647187094958,0.17871260255895693,-0.021427988558956945,0.17452011182896804,-0.01723549782896805,0.13900898200133244,0.018275631998667552,,,
